Unnamed: 0,GEOID,Longitude,Latitude,LST_Celsius,impervious,Geographic Area Name,Total,Total_Urban,Total_Rural,PercentageUrban
795,60710087142,-117.0616743,34.00901422,46.63705882,20.5,Block Group 2; Census Tract 87.14; San Bernardino County; California,1530,1530,0,100.0
796,60710087141,-117.0619852,34.02036067,46.45735294,33.75,Block Group 1; Census Tract 87.14; San Bernardino County; California,2784,2784,0,100.0
797,60710073072,-117.2366057,34.0453247,44.474375,48.0,Block Group 2; Census Tract 73.07; San Bernardino County; California,1898,1898,0,100.0
798,60710073064,-117.2377386,34.05218816,45.24875,50.18181818181818,Block Group 4; Census Tract 73.06; San Bernardino County; California,2517,2517,0,100.0
799,60710065011,-117.2653251,34.09954046,47.12272727,46.8,Block Group 1; Census Tract 65.01; San Bernardino County; California,1485,1485,0,100.0
800,60710056013,-117.2994413,34.11854482,46.68375,63.25,Block Group 3; Census Tract 56.01; San Bernardino County; California,1394,1394,0,100.0
801,60710065021,-117.2527918,34.10755602,47.08130435,25.3125,Block Group 1; Census Tract 65.02; San Bernardino County; California,1577,1577,0,100.0
802,60710063033,-117.2676179,34.12404864,46.65865672,54.333333333333336,Block Group 3; Census Tract 63.03; San Bernardino County; California,945,945,0,100.0
803,60710063031,-117.2557392,34.12498747,46.71716418,45.71428571428572,Block Group 1; Census Tract 63.03; San Bernardino County; California,1972,1972,0,100.0
804,60710114061,-116.8472495,34.26646379,34.08079365,24.866666666666667,Block Group 1; Census Tract 114.06; San Bernardino County; California,1483,1483,0,100.0
805,60710001153,-117.6847413,33.95709633,41.945,41.67857142857143,Block Group 3; Census Tract 1.15; San Bernardino County; California,4251,4251,0,100.0
806,60710084052,-117.1672277,34.07186908,45.12916667,60.15384615384615,Block Group 2; Census Tract 84.05; San Bernardino County; California,1373,1373,0,100.0
807,60710001211,-117.6916131,33.95690248,41.945,43.75,Block Group 1; Census Tract 1.21; San Bernardino County; California,1788,1788,0,100.0
808,60710056022,-117.2874379,34.11857142,46.84761194,54.0,Block Group 2; Census Tract 56.02; San Bernardino County; California,1393,1393,0,100.0
